"","LPI_final","CI_low","CI_high","years","label","sim"
"147",1.00122917287262,1.00023882672347,1.00217945591426,1954,"convex",1
"148",1.00097164323537,0.999872321486818,1.00202250779715,1955,"convex",1
"149",1.00082934907556,0.999570360737086,1.0019076466327,1956,"convex",1
"150",1.0011046195854,0.99985273019264,1.0022932604662,1957,"convex",1
"151",1.00157470840685,1.0001971365166,1.00282338880819,1958,"convex",1
"152",1.00169451938052,1.00022988904536,1.00308333772703,1959,"convex",1
"153",1.00159932723618,1.00013482216141,1.00296203096211,1960,"convex",1
"154",1.00156753105544,1.000082326409,1.00303247840578,1961,"convex",1
"155",1.00179250277503,1.00016816891301,1.003295470511,1962,"convex",1
"156",1.00204580422465,1.00036561696823,1.0037072633337,1963,"convex",1
"157",1.00210859953181,1.00034589630941,1.00384000159429,1964,"convex",1
"158",1.00190287071463,1.00005081303493,1.00376359088685,1965,"convex",1
"159",1.00168811136959,0.999842459184221,1.00356267645693,1966,"convex",1
"160",1.00154053497479,0.999597110120927,1.00345779540251,1967,"convex",1
"161",1.00109439526667,0.999065643195027,1.00310616553575,1968,"convex",1
"162",1.00056384539137,0.998418496812961,1.00250926697212,1969,"convex",1
"163",1.00006843746645,0.99787399060496,1.00206644249472,1970,"convex",1
"164",0.999791057858777,0.99763277065711,1.00175975815674,1971,"convex",1
"165",0.999534769498442,0.997295325678924,1.00153728607749,1972,"convex",1
"166",0.999091858399151,0.996832707563047,1.0012342411696,1973,"convex",1
"167",0.998263667453103,0.995993342596808,1.00047484131647,1974,"convex",1
"168",0.997396641975023,0.995076174038113,0.999724062379404,1975,"convex",1
"169",0.99659213024253,0.994219021318522,0.998947592034337,1976,"convex",1
"170",0.995768308626403,0.993402402486567,0.998104307833748,1977,"convex",1
"171",0.994446883944936,0.992041443231681,0.996890615674165,1978,"convex",1
"172",0.992869952688369,0.990447781207192,0.99542309731988,1979,"convex",1
"173",0.991430806887207,0.988881648849798,0.994026367123715,1980,"convex",1
"174",0.990172730430764,0.987519114806264,0.992772814817905,1981,"convex",1
"175",0.988837215613098,0.986173055086668,0.991329300048951,1982,"convex",1
