"","LPI_final","CI_low","CI_high","years","numZeros","sim","label"
"15995",1.06283996114178,0.973345009112947,1.14236472229531,1969,15,226,"Permutations"
"15996",1.05930252820996,0.96108428385121,1.147927529127,1970,31,226,"Permutations"
"15997",1.05306548483046,0.941795460269407,1.13432563020281,1971,37,226,"Permutations"
"15998",1.04427588574669,0.930396429032139,1.13460515170779,1972,37,226,"Permutations"
"15999",1.0492928786125,0.933559317183761,1.14138013817624,1973,44,226,"Permutations"
"16000",1.0418442481404,0.931096360454619,1.12284734158936,1974,39,226,"Permutations"
"16001",1.03866158216879,0.929579946902966,1.12776448862299,1975,51,226,"Permutations"
"16002",1.03376503686783,0.920977084151399,1.11886345119712,1976,49,226,"Permutations"
"16003",1.0343367322332,0.918742265733663,1.11394853824328,1977,39,226,"Permutations"
"16004",1.04220210077897,0.923413874890677,1.12433138044539,1978,40,226,"Permutations"
"16005",1.04488981048957,0.923490618146472,1.12822304508156,1979,59,226,"Permutations"
"16006",1.0438555847982,0.915463730778178,1.11969796834016,1980,59,226,"Permutations"
"16007",1.05586123153693,0.924260497384713,1.13096822323345,1981,268,226,"Permutations"
"16008",1.05830190717675,0.929236450188174,1.13829536529953,1982,291,226,"Permutations"
"16009",1.05676316976554,0.921079758980652,1.12739431608204,1983,343,226,"Permutations"
"16010",1.06136283850882,0.926539900337604,1.13099893885004,1984,353,226,"Permutations"
"16011",1.06142474965518,0.938543491917972,1.12362010957931,1985,392,226,"Permutations"
"16012",1.05380853852262,0.925348983452661,1.11060256639299,1986,274,226,"Permutations"
"16013",1.05549395868809,0.933592341144374,1.11051554924476,1987,290,226,"Permutations"
"16014",1.05637915311637,0.940550581787888,1.1096707701901,1988,317,226,"Permutations"
"16015",1.06171255993848,0.944814018443422,1.11695291932977,1989,305,226,"Permutations"
"16016",1.06284636834354,0.941008958893836,1.11280603927506,1990,293,226,"Permutations"
"16017",1.06557067543176,0.947859903042831,1.11756906472844,1991,336,226,"Permutations"
"16018",1.06616841602303,0.945894648357689,1.12556292359421,1992,481,226,"Permutations"
"16019",1.05529745477758,0.940215961072219,1.1186296922496,1993,550,226,"Permutations"
"16020",1.0472091322045,0.94071450183459,1.10858986409525,1994,695,226,"Permutations"
"16021",1.04623745414047,0.939265938864867,1.10456367471123,1995,969,226,"Permutations"
"16022",1.04464857536931,0.935542689458205,1.10030090680731,1996,988,226,"Permutations"
"16023",1.04219844419404,0.939399863138882,1.09709402100158,1997,1184,226,"Permutations"
"16024",1.04006345091441,0.940118917184286,1.09379241318186,1998,1303,226,"Permutations"
"16025",1.03789524221943,0.944212076325881,1.09054396704651,1999,1335,226,"Permutations"
"16026",1.0379356870684,0.948520764708288,1.07880534326488,2000,1390,226,"Permutations"
"16027",1.03197456578009,0.946385173443671,1.07760328245941,2001,1433,226,"Permutations"
"16028",1.0356002065806,0.953610115226335,1.0806343885434,2002,1448,226,"Permutations"
"16029",1.02632491504671,0.949824672502358,1.06815533202622,2003,1445,226,"Permutations"
"16030",1.0262741134861,0.947274331200879,1.07379994488624,2004,1335,226,"Permutations"
"16031",1.0299142079948,0.944626403896357,1.07903602959942,2005,1475,226,"Permutations"
"16032",1.04268040008452,0.966634901930353,1.08621401705496,2006,1506,226,"Permutations"
"16033",1.05308788307576,0.967600708722029,1.09684495830328,2007,1601,226,"Permutations"
"16034",1.05252159578151,0.967580717296279,1.09937682672937,2008,1644,226,"Permutations"
"16035",1.04939372159169,0.962190595149265,1.1038487408661,2009,1957,226,"Permutations"
"16036",1.04443155571268,0.96369157611338,1.09482372470367,2010,3132,226,"Permutations"
"16037",1.02568754175107,0.954812382518592,1.08239845728172,2011,3283,226,"Permutations"
"16038",1.02058380274029,0.940566588789598,1.07477321140109,2012,3185,226,"Permutations"
"16039",1.02575031372427,0.946953697851562,1.08046617346894,2013,3356,226,"Permutations"
"16040",1.03432278511277,0.953028107902294,1.09039392333198,2014,3144,226,"Permutations"
"16041",1.02570672703165,0.948380826361211,1.08808457005243,2015,3352,226,"Permutations"
"16042",1.03352798368963,0.95343448521155,1.10481553735668,2016,3205,226,"Permutations"
"16043",1.03813150671704,0.947990924867631,1.10113400221102,2017,2872,226,"Permutations"
"16044",1.0565184012467,0.971999039294941,1.11848519587438,2018,3067,226,"Permutations"
"16045",1.09415552476276,1.01409421399603,1.17446217406415,2019,2611,226,"Permutations"
"16046",1.09415552476276,1.01409421399603,1.17446217406415,2020,2135,226,"Permutations"
"16047",1,1,1,1950,12,227,"Permutations"
"16048",0.976757642559504,0.929664323971671,1.05792481985927,1951,6,227,"Permutations"
"16049",1.03176883535824,0.940549207073567,1.08391877610452,1952,12,227,"Permutations"
"16050",1.03572923658875,0.943938481402033,1.07947595164284,1953,11,227,"Permutations"
"16051",1.04962674234096,0.935313771421624,1.10087052190731,1954,11,227,"Permutations"
"16052",1.03132967735673,0.912145754781236,1.0147606509656,1955,10,227,"Permutations"
"16053",1.01166379981307,0.891619011798933,1.02432977007838,1956,11,227,"Permutations"
"16054",1.0202212757359,0.858928735927693,1.04530896202033,1957,7,227,"Permutations"
"16055",1.02755051587257,0.86995817902894,1.053309595926,1958,11,227,"Permutations"
"16056",1.06659867493159,0.878709149278753,1.09714378614926,1959,10,227,"Permutations"
"16057",1.0616130052026,0.894780635122608,1.1189668165675,1960,11,227,"Permutations"
"16058",1.04977954877673,0.883669612343321,1.11140332913327,1961,9,227,"Permutations"
"16059",0.997362655215368,0.85138806201992,1.05658380436991,1962,15,227,"Permutations"
"16060",0.994117022968437,0.838347237772925,1.06893046067523,1963,15,227,"Permutations"
"16061",0.995207111532317,0.812975442113731,1.07889549688664,1964,14,227,"Permutations"
"16062",1.01123563748339,0.82595324104071,1.08345553073795,1965,26,227,"Permutations"
"16063",1.00738352109825,0.827432190812709,1.05908569311568,1966,12,227,"Permutations"
"16064",1.0136872040042,0.829237232591261,1.06711133730884,1967,21,227,"Permutations"
"16065",1.03614400433819,0.846447019900117,1.09105855896205,1968,15,227,"Permutations"
"16066",1.03656380438806,0.846876140642102,1.07058019671835,1969,19,227,"Permutations"
"16067",1.01739768768302,0.821657436557401,1.05654132264369,1970,32,227,"Permutations"
"16068",1.02275908052109,0.816331475395272,1.0689820831443,1971,36,227,"Permutations"
"16069",1.01929463994926,0.820212626654941,1.06903945652177,1972,30,227,"Permutations"
"16070",1.00588184193679,0.803159522463956,1.06400000814588,1973,36,227,"Permutations"
"16071",1.01232898994063,0.8127259308222,1.06270840413667,1974,31,227,"Permutations"
"16072",1.01952515165322,0.813240041098214,1.07111914851344,1975,56,227,"Permutations"
"16073",1.03008908702507,0.825156184171155,1.09087378945648,1976,34,227,"Permutations"
"16074",1.02286100585764,0.822359918107289,1.08643986057425,1977,38,227,"Permutations"
"16075",1.02652508797215,0.826680052356452,1.09372007440991,1978,56,227,"Permutations"
"16076",1.0359569306726,0.831809514962915,1.11185731998816,1979,56,227,"Permutations"
"16077",1.02135499193033,0.819739658644435,1.10154008831716,1980,57,227,"Permutations"
"16078",1.01515656713365,0.811956085787981,1.10077712220574,1981,271,227,"Permutations"
"16079",1.00461975472936,0.805301171203468,1.08739630875198,1982,302,227,"Permutations"
"16080",1.00925686842351,0.816248524564354,1.09259536101595,1983,313,227,"Permutations"
"16081",1.01125029001151,0.822649191751826,1.09293163474022,1984,366,227,"Permutations"
"16082",1.02757861958488,0.83556314270645,1.11668645246064,1985,361,227,"Permutations"
"16083",1.02752358042432,0.840907598323386,1.12307696554258,1986,262,227,"Permutations"
"16084",1.03110846577727,0.841546920734099,1.12985097788004,1987,307,227,"Permutations"
"16085",1.03623815252636,0.840242879090624,1.13526201903632,1988,322,227,"Permutations"
"16086",1.02972144545152,0.835042927959874,1.12168952720575,1989,318,227,"Permutations"
"16087",1.02612295938561,0.835084346249768,1.11870266638523,1990,305,227,"Permutations"
"16088",1.01661558923122,0.828272528108436,1.11543061300358,1991,369,227,"Permutations"
"16089",1.01487880282347,0.825844090092234,1.11398780994008,1992,497,227,"Permutations"
"16090",1.01255491543649,0.820991058048525,1.10839511164343,1993,546,227,"Permutations"
"16091",1.01353811930207,0.822946818557622,1.09627186288339,1994,662,227,"Permutations"
"16092",0.999591757683382,0.814369060911357,1.08712096730396,1995,977,227,"Permutations"
"16093",0.999641976426519,0.819013999907626,1.08881646782925,1996,992,227,"Permutations"
"16094",0.997130310374552,0.814459653222551,1.09055973054655,1997,1181,227,"Permutations"
"16095",0.994235300771602,0.816083562672985,1.08906362053082,1998,1303,227,"Permutations"
"16096",0.989790860823284,0.811142943000503,1.08969160278403,1999,1311,227,"Permutations"
"16097",0.993229398226704,0.815278724403279,1.08935353456993,2000,1363,227,"Permutations"
"16098",0.987008059972791,0.80505655706906,1.08152322882322,2001,1416,227,"Permutations"
"16099",0.982842889831824,0.799994630828859,1.0782383679864,2002,1500,227,"Permutations"
"16100",0.973965982643368,0.795977264761159,1.07230525817013,2003,1429,227,"Permutations"
"16101",0.982235232179052,0.801157235502363,1.07897111536674,2004,1309,227,"Permutations"
"16102",0.989334639037676,0.810273384814545,1.08266591564053,2005,1441,227,"Permutations"
"16103",0.990829421550482,0.804990210638151,1.09099141787898,2006,1509,227,"Permutations"
"16104",1.00240069335121,0.815623076193478,1.10373492871359,2007,1615,227,"Permutations"
"16105",1.00844406565544,0.821158354703628,1.10087690646434,2008,1639,227,"Permutations"
"16106",0.999592971013666,0.811529019809323,1.09689577609041,2009,1949,227,"Permutations"
"16107",0.995003756301265,0.803299319243548,1.09703544264109,2010,3159,227,"Permutations"
"16108",0.973752760083118,0.792473628247706,1.0769269883931,2011,3394,227,"Permutations"
"16109",0.96820015957083,0.790753077176008,1.06671342318263,2012,3169,227,"Permutations"
"16110",0.972724663935041,0.77944929537322,1.07046927325696,2013,3345,227,"Permutations"
"16111",0.974874989475717,0.781831416642278,1.07620717034726,2014,3202,227,"Permutations"
"16112",0.971736454289643,0.773216350613376,1.07513467957927,2015,3287,227,"Permutations"
